Position,Prenom,Nom,Voiture,TempFinal,Etape 1,Etape 2,Etape 3,Etape 4,Etape 5,Etape 6,Etape 7,Etape 8,Etape 9,Etape 10,
1,Jean-Pierre,Richelmi,Mini Countryman,65:23:1:0,8:28:5:0,5:32:41:0,13:25:28:0,1:26:41:0,5:57:54:0,7:21:24:0,10:17:1:0,4:24:39:0,4:45:52:0,3:43:16:0,
2,Toomas,Heikkinen,Renault Captur,65:38:46:0,8:39:19:0,5:11:20:0,13:3:57:0,1:7:17:0,7:6:16:0,7:19:25:0,10:11:54:0,5:14:2:0,4:17:58:0,3:27:18:0,
3,Philippe,Wambergue,Renault Clio,65:44:11:0,8:44:13:0,4:53:43:0,13:8:55:0,1:16:43:0,6:40:52:0,7:30:44:0,10:16:41:0,4:52:51:0,4:36:20:0,3:43:9:0,
4,Sylvain,Pussier,Peugeot 3008 II,66:20:47:0,8:33:31:0,5:22:33:0,13:7:48:0,1:29:0:0,6:41:49:0,7:29:38:0,10:2:53:0,5:15:18:0,4:36:3:0,3:42:14:0,
5,Jacques,Villeneuve,Renault Clio,66:24:27:0,8:57:43:0,5:11:44:0,13:6:16:0,1:15:7:0,6:25:35:0,7:10:26:0,10:17:25:0,5:6:28:0,4:53:55:0,3:59:48:0,
6,Jean-Luc,Richner,Mazda 3,66:33:46:0,8:28:11:0,5:52:53:0,13:27:51:0,1:33:23:0,6:15:28:0,7:4:35:0,10:29:35:0,4:53:57:0,4:49:4:0,3:38:49:0,
7,Olivier,Pernaut,Mazda 3,66:43:58:0,8:6:6:0,5:34:55:0,13:34:56:0,1:38:49:0,6:42:48:0,7:32:18:0,9:53:18:0,5:26:5:0,4:23:27:0,3:51:16:0,
8,Jean-Louis,Schlesser,BMW M2,66:46:25:0,8:51:3:0,5:24:58:0,13:16:22:0,1:36:47:0,6:0:54:0,6:58:16:0,10:23:21:0,4:58:45:0,5:15:46:0,4:0:13:0,
9,Frederic,Amblard,Audi A1 Quattro,68:3:13:0,8:34:54:0,5:52:51:0,14:2:6:0,2:3:9:0,6:26:4:0,7:8:44:0,10:10:45:0,4:56:12:0,4:29:19:0,4:19:9:0,
10,Jean-Philippe,Dayraut,BMW M2,68:20:38:0,8:43:11:0,5:28:26:0,14:29:46:0,1:52:43:0,6:17:26:0,7:40:14:0,10:11:6:0,4:2:28:0,4:30:1:0,5:5:17:0,
11,Gilles,Stievenart,BMW M2,68:47:14:0,8:53:43:0,5:6:34:0,14:17:37:0,1:44:38:0,6:23:4:0,7:50:28:0,10:24:7:0,4:46:46:0,3:45:25:0,5:34:52:0,
12,Margot,Laffite,Mazda 3,68:53:43:0,8:50:58:0,5:30:24:0,14:4:30:0,1:39:17:0,6:35:55:0,7:24:19:0,10:40:5:0,4:29:59:0,4:57:32:0,4:40:44:0,
13,David,Bernard,Mazda 3,69:5:50:0,9:8:1:0,5:10:14:0,14:26:25:0,2:1:0:0,5:59:54:0,7:45:18:0,10:38:0:0,4:32:12:0,4:13:33:0,5:11:13:0,
14,Gerald,Fontanel,BMW M2,69:9:29:0,8:50:46:0,5:17:52:0,14:42:55:0,2:7:1:0,6:28:2:0,7:31:33:0,10:31:22:0,4:23:43:0,3:48:18:0,5:27:57:0,
15,Didier,Thoral,Mazda 3,69:19:35:0,8:29:7:0,5:38:14:0,14:25:40:0,2:11:35:0,6:27:18:0,7:42:6:0,10:46:4:0,4:26:35:0,3:29:36:0,5:43:20:0,
16,Chantal,Soule-Dupuy,Renault Clio,69:26:51:0,8:12:0:0,5:53:24:0,14:6:41:0,2:39:38:0,6:17:30:0,8:3:14:0,10:41:45:0,3:57:57:0,3:53:44:0,5:40:58:0,
17,Bertrand,Balas,Peugeot 3008 II,70:34:45:0,7:47:32:0,6:10:54:0,14:19:12:0,3:4:3:0,6:1:53:0,8:26:41:0,11:10:59:0,4:26:46:0,3:32:58:0,5:33:47:0,
18,Adrien,Tambay,Mazda 3,70:39:13:0,7:18:2:0,6:22:59:0,13:35:59:0,3:12:25:0,5:43:23:0,8:23:44:0,11:44:23:0,4:29:0:0,4:16:30:0,5:32:48:0,
19,Andrea,Dubourg,Mazda 3,71:10:32:0,7:45:5:0,6:28:31:0,14:1:14:0,2:49:16:0,5:53:38:0,8:38:40:0,11:45:30:0,4:4:16:0,3:47:22:0,5:57:0:0,
20,Benoit,Treluyer,Audi A1 Quattro,71:41:22:0,7:23:54:0,6:6:36:0,14:13:17:0,3:16:37:0,5:51:24:0,8:55:9:0,11:40:2:0,4:10:56:0,4:1:10:0,6:2:17:0,
